"Character(decimal)","Decimal","Character(hex)","Hex","Name","Braille"
"𒀀","73728","𒀀","12000","CUNEIFORM SIGN A","a"
"𒀁","73729","𒀁","12001","CUNEIFORM SIGN A TIMES A","a[q~*]a"
"𒀂","73730","𒀂","12002","CUNEIFORM SIGN A TIMES BAD","a[q~*]bad"
"𒀃","73731","𒀃","12003","CUNEIFORM SIGN A TIMES GAN2 TENU","a[q~*]gan2 tenu"
"𒀄","73732","𒀄","12004","CUNEIFORM SIGN A TIMES HA","a[q~*]ha"
"𒀅","73733","𒀅","12005","CUNEIFORM SIGN A TIMES IGI","a[q~*]igi"
"𒀆","73734","𒀆","12006","CUNEIFORM SIGN A TIMES LAGAR GUNU","a[q~*]lagar gunu"
"𒀇","73735","𒀇","12007","CUNEIFORM SIGN A TIMES MUSH","a[q~*]mush"
"𒀈","73736","𒀈","12008","CUNEIFORM SIGN A TIMES SAG","a[q~*]sag"
"𒀉","73737","𒀉","12009","CUNEIFORM SIGN A2","a2"
"𒀊","73738","𒀊","1200A","CUNEIFORM SIGN AB","ab"
"𒀋","73739","𒀋","1200B","CUNEIFORM SIGN AB TIMES ASH2","ab[q~*]ash2"
"𒀌","73740","𒀌","1200C","CUNEIFORM SIGN AB TIMES DUN3 GUNU","ab[q~*]dun3 gunu"
"𒀍","73741","𒀍","1200D","CUNEIFORM SIGN AB TIMES GAL","ab[q~*]gal"
"𒀎","73742","𒀎","1200E","CUNEIFORM SIGN AB TIMES GAN2 TENU","ab[q~*]gan2 tenu"
"𒀏","73743","𒀏","1200F","CUNEIFORM SIGN AB TIMES HA","ab[q~*]ha"
"𒀐","73744","𒀐","12010","CUNEIFORM SIGN AB TIMES IGI GUNU","ab[q~*]igi gunu"
"𒀑","73745","𒀑","12011","CUNEIFORM SIGN AB TIMES IMIN","ab[q~*]imin"
"𒀒","73746","𒀒","12012","CUNEIFORM SIGN AB TIMES LAGAB","ab[q~*]lagab"
"𒀓","73747","𒀓","12013","CUNEIFORM SIGN AB TIMES SHESH","ab[q~*]shesh"
"𒀔","73748","𒀔","12014","CUNEIFORM SIGN AB TIMES U PLUS U PLUS U","ab[q~*]u[q~+]u[q~+]u"
"𒀕","73749","𒀕","12015","CUNEIFORM SIGN AB GUNU","ab gunu"
"𒀖","73750","𒀖","12016","CUNEIFORM SIGN AB2","ab2"
"𒀗","73751","𒀗","12017","CUNEIFORM SIGN AB2 TIMES BALAG","ab2[q~*]balag"
"𒀘","73752","𒀘","12018","CUNEIFORM SIGN AB2 TIMES GAN2 TENU","ab2[q~*]gan2 tenu"
"𒀙","73753","𒀙","12019","CUNEIFORM SIGN AB2 TIMES ME PLUS EN","ab2[q~*]me[q~+]en"
"𒀚","73754","𒀚","1201A","CUNEIFORM SIGN AB2 TIMES SHA3","ab2[q~*]sha3"
"𒀛","73755","𒀛","1201B","CUNEIFORM SIGN AB2 TIMES TAK4","ab2[q~*]tak4"
"𒀜","73756","𒀜","1201C","CUNEIFORM SIGN AD","ad"
"𒀝","73757","𒀝","1201D","CUNEIFORM SIGN AK","ak"
"𒀞","73758","𒀞","1201E","CUNEIFORM SIGN AK TIMES ERIN2","ak[q~*]erin2"
"𒀟","73759","𒀟","1201F","CUNEIFORM SIGN AK TIMES SHITA PLUS GISH","ak[q~*]shita[q~+]gish"
"𒀠","73760","𒀠","12020","CUNEIFORM SIGN AL","al"
"𒀡","73761","𒀡","12021","CUNEIFORM SIGN AL TIMES AL","al[q~*]al"
"𒀢","73762","𒀢","12022","CUNEIFORM SIGN AL TIMES DIM2","al[q~*]dim2"
"𒀣","73763","𒀣","12023","CUNEIFORM SIGN AL TIMES GISH","al[q~*]gish"
"𒀤","73764","𒀤","12024","CUNEIFORM SIGN AL TIMES HA","al[q~*]ha"
"𒀥","73765","𒀥","12025","CUNEIFORM SIGN AL TIMES KAD3","al[q~*]kad3"
"𒀦","73766","𒀦","12026","CUNEIFORM SIGN AL TIMES KI","al[q~*]ki"
"𒀧","73767","𒀧","12027","CUNEIFORM SIGN AL TIMES SHE","al[q~*]she"
"𒀨","73768","𒀨","12028","CUNEIFORM SIGN AL TIMES USH","al[q~*]ush"
"𒀩","73769","𒀩","12029","CUNEIFORM SIGN ALAN","alan"
"𒀪","73770","𒀪","1202A","CUNEIFORM SIGN ALEPH","aleph"
"𒀫","73771","𒀫","1202B","CUNEIFORM SIGN AMAR","amar"
"𒀬","73772","𒀬","1202C","CUNEIFORM SIGN AMAR TIMES SHE","amar[q~*]she"
"𒀭","73773","𒀭","1202D","CUNEIFORM SIGN AN","an"
"𒀮","73774","𒀮","1202E","CUNEIFORM SIGN AN OVER AN","an[q~/]an"
"𒀯","73775","𒀯","1202F","CUNEIFORM SIGN AN THREE TIMES","an[q~^][q~^][q~^]"
"𒀰","73776","𒀰","12030","CUNEIFORM SIGN AN PLUS NAGA OPPOSING AN PLUS NAGA","an[q~+]naga[q~$]an[q~+]naga"
"𒀱","73777","𒀱","12031","CUNEIFORM SIGN AN PLUS NAGA SQUARED","an[q~+]naga[q~^][q~^]"
"𒀲","73778","𒀲","12032","CUNEIFORM SIGN ANSHE","anshe"
"𒀳","73779","𒀳","12033","CUNEIFORM SIGN APIN","apin"
"𒀴","73780","𒀴","12034","CUNEIFORM SIGN ARAD","arad"
"𒀵","73781","𒀵","12035","CUNEIFORM SIGN ARAD TIMES KUR","arad[q~*]kur"
"𒀶","73782","𒀶","12036","CUNEIFORM SIGN ARKAB","arkab"
"𒀷","73783","𒀷","12037","CUNEIFORM SIGN ASAL2","asal2"
"𒀸","73784","𒀸","12038","CUNEIFORM SIGN ASH","ash"
"𒀹","73785","𒀹","12039","CUNEIFORM SIGN ASH ZIDA TENU","ash zida tenu"
"𒀺","73786","𒀺","1203A","CUNEIFORM SIGN ASH KABA TENU","ash kaba tenu"
"𒀻","73787","𒀻","1203B","CUNEIFORM SIGN ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP","ash[q~/]ash tug2[q~/]tug2 tug2[q~/]tug2 pap"
"𒀼","73788","𒀼","1203C","CUNEIFORM SIGN ASH OVER ASH OVER ASH","ash[q~/]ash[q~/]ash"
"𒀽","73789","𒀽","1203D","CUNEIFORM SIGN ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH","ash[q~/]ash[q~/]ash[q~&]ash[q~/]ash[q~/]ash"
"𒀾","73790","𒀾","1203E","CUNEIFORM SIGN ASH2","ash2"
"𒀿","73791","𒀿","1203F","CUNEIFORM SIGN ASHGAB","ashgab"
