Character,Hex,Type,Name,Braille
כְּ,05DB+05BC+05B0,always,kaf with dagesh sheva,⠅⠄
דְּ,05D3+05BC+05B0,always,dalet with dagesh sheva,⠐⠙⠄
שְׁ,05E9+05B0+05C1,always, Shin with dot and sheva,⠩⠄
בְּ,05D1+05B0+05BC,always,bet with dagesh sheva,⠃⠄
לְּ,05DC+05BC+05B0,always,lamed with dagesh sheva,⠐⠇⠄
יְּ,05D9+05BC+05B0,always,Yod with dagesh sheva,⠐⠚⠄
שְׂ,05E9+05B0+05C2,always, Sin sheva,⠱⠄
קְּ,05E7+05BC+05B0,always,qof with dagesh sheva,⠐⠟⠄
מְּ,05DE+05BC+05B0,always,mem with dagesh sheva,⠐⠍⠄
תְּ,05EA+05BC+05B0,always,tav with dagesh sheva,⠞⠄
נְּ,05E0+05BC+05B0,always,nun with  dagesh sheva,⠐⠝⠄
ּוְ,05BC+05D5+05B0,always,shuruq sheva,⠥⠄
פְּ,05E4+05BC+05B0,always,pe with dagesh sheva,⠐⠏⠄
בְּ,FB31+05B0,always,Bet with dagesh sheva,⠃⠄
קּ,05E7+05BC,always,qof with dagesh,⠐⠟
דּ,05D3+05BC,always,dalet with dagesh,⠐⠙
וּ,05D5+05BC,always,shuruq,⠥
הּ,05D4+05BC,letter,hey - isolated,⠓
וֹ,05D5+05B9,always,holam-vav,⠪
כְּ,FB3B+05B0,always,KAF with dagesh  sheva,⠅⠄
ּו,05BC+05D5,always,shuruq,⠥
נּ,05E0+05BC,always,nun with dagesh,⠐⠝
מּ,05DE+05BC,always,mem with dagesh,⠐⠍
יּ,05D9+05BC,always,Yod with dagesh,⠐⠚
לּ,05DC+05BC,always,lamed with dagesh,⠐⠇
כּ,05DB+05BC,always,kaf with dagesh,⠅
בּ,05D1+05BC,always,bet with dagesh,⠃
פּ,05E4+05BC,always,pe with dagesh,⠐⠏
ר,500000000,letter,resh,⠗
שׁ,05E9+05C1,always,shin with dot,⠩
שׂ,05E9+05C2,always,sin,⠱
תּ,05EA+05BC,always,tav with dagesh,⠞
תְּ,FB4A+05B0,always,tav with daggesh sheva,⠐⠹⠄
ִי,05B4+05D9,always,hiriq-yod,⠔
ֵי,05B5+05D9,always,tsere-yod,⠼
ק,50000000,letter,qof,⠟
✙,fU+2719,sign,  Marks end of Replaced text,⠾⠠
צ,5000000,letter,tsadi,⠮
✖,U+2716,sign,Mark Ends of Replacement,⠺
❘,U+2758,sign,Mark that separates variations,⠳
❦,U+2766,sign,Marks beginning of transposition,⠠⠱
❥,U+2765,sign,Marks distinguishes between varient,⠡⠠
✔,U+2714,sign,Check Mark Distinguishes Same kind of Varient,⠷
❚,U+275A,sign,Mark indicates varrnt,⠉
❙,U+2759,sign,Mark that indicates Alternative readings,⠞
❑,U+2751,sign,Mark that Distinguishes between Varient,⠟
ץ,500000,letter,final tsadi,⠮
❐,U+2750,sign,Marks Replaced Word,⠗
❏,U+274F,sign,Marks End of Omited word,⠕⠠
❍,U+274D,sign,Marks Omitted Word,⠕
✕,U+2715,sign,Mark beginning of Replacement,⠗
✘,U+2718,sign,Marks Varients with in Apparatus,⠔
✗,U+2717,sign,Mark for  Insertion,⠊
❁,U+2741,sign,Reference to LXX,⠇⠭⠭
❧,U+2767,sign,Check Marks end of transposition,⠱⠠
פ,50000,letter,Pe,⠏
כּ,FB3B,always,KAF with dagesh ,⠅
֤,05A4,letter,mahapakh,⠨⠓
֫,05AB,letter,ole,⠨⠕
֪,05AA,letter,yerah ben yomo,⠨⠽
֩,05A9,letter,telisha qetana,⠨⠟
֨,05A8,letter,qadma,⠨⠏
֧,05A7,letter,darga,⠨⠙
֦,05A6,letter,merkha kefula,⠨⠅
֥,05A5,letter,merkha,⠨⠍
֣,05A3,letter,munah,⠨⠥
֭,05AD,letter,dehi,⠨⠊
֢,05A2,letter,atnah hafukh,⠨⠆
֡,05A1,letter,pazer,⠨⠦
֠,05A0,letter,telisha gedola,⠨⠶
֟,059F,letter,qarney para,⠨⠝
֞,059E,letter,gershayim,⠨⠃
֝,059D,letter,geresh muqdam,⠨⠡
֜,059C,letter,geresh,⠨⠁
֛,059B,letter,tevir,⠨⠧
֬,05AC,letter,iluy,⠨⠊
֮,05AE,letter,zinor,⠨⠵
כ,05DB,letter,kaf,⠡
ֹ,05B9,letter,holam Malay,⠸⠪
ֲ,05B2,letter,hataf patah,⠒
ֳ,05B3,letter,hataf qamats,⠜
ִ,05B4,letter,hiriq,⠊
ֵ,05B5,letter,tsere,⠌
ֶ,05B6,letter,segol,⠑
ַ,05B7,letter,patah,⠉
ָ,05B8,letter,qamats,⠣
ֺ,05BA,letter,holam haser,⠕
֯,05AF,letter,masora circle,⠸⠍
ֻ,05BB,letter,qubuts,⠬
ּ,05BC,letter,dagesh,⠐
