Character,Hex,Type,Name,Braille
𒀀,12000,letter,DU2,DU2
𒉞,1225E,letter,NINDA2xshE+Ash+Ash,NINDA2xshE+Ash+Ash
𒉠,12260,letter,NINDA2xUsh,NINDA2xUsh
𒉡,12261,letter,MURU2,MURU2
𒉢,12262,letter,NU,NU
𒉣,12263,letter,shIR,shIR
𒉤,12264,letter,eridu,eridu
𒉥,12265,letter,NUNLAGARxGAR,NUNLAGARxGAR
𒉦,12266,letter,NUNLAGARxMAsh,NUNLAGARxMAsh
𒉧,12267,letter,NUNLAGARxSAL,NUNLAGARxSAL
𒉨,12268,letter,NUNLAGARxSAL/NUNLAGARxSAL,NUNLAGARxSAL/NUNLAGARxSAL
𒉩,12269,letter,NUNLAGARxUsh,NUNLAGARxUsh
𒉪,1226A,letter,NUNtenu,NUNtenu
𒉫,1226B,letter,NIR,NIR
𒉬,1226C,letter,NUNcrossingNUN,NUNcrossingNUN
𒉭,1226D,letter,NUNcrossingNUNLAGAR/LAGAR,NUNcrossingNUNLAGAR/LAGAR
𒉮,1226E,letter,NUNUZ,NUNUZ
𒉯,1226F,letter,USAN3,USAN3
𒉰,12270,letter,MUD3,MUD3
𒉱,12271,letter,NUNUZAB2xDUG,NUNUZAB2xDUG
𒉲,12272,letter,NUNUZAB2xGUD,NUNUZAB2xGUD
𒉳,12273,letter,NUNUZAB2xIGIgunu,NUNUZAB2xIGIgunu
𒉴,12274,letter,NUNUZAB2xKAD3,NUNUZAB2xKAD3
𒉵,12275,letter,LAHTAN,LAHTAN
𒉶,12276,letter,NUNUZAB2xNE,NUNUZAB2xNE
𒉷,12277,letter,LAHTAN2,LAHTAN2
𒉸,12278,letter,NUNUZAB2xU2,NUNUZAB2xU2
𒉟,1225F,letter,NINDA2xU2+Ash,NINDA2xU2+Ash
𒉝,1225D,letter,NINDA2xshE+Ash,NINDA2xshE+Ash
𒉺,1227A,letter,MUD3,MUD3
𒉜,1225C,letter,shAM2,shAM2
𒉃,12243,letter,NAGAxshUtenu,NAGAxshUtenu
𒉄,12244,letter,NAGAopposingNAGA,NAGAopposingNAGA
𒉅,12245,letter,ALLA,ALLA
𒉆,12246,letter,NAMNUTILLU,NAMNUTILLU
