Character,Hex,Type,Name,Braille
⸤,2E+024,punctuation,BOTTOM LEFT HALF BRACKET,⠨⠣
Ẓ,1E+092,uppercase,Capital Z with Dot Below,⠠⠐⠵
ṣ,1E+063,lowercase,S WITH DOT BELOW,⠐⠎
Ṣ,1E+062,uppercase,CAPITAL S WITH DOT BELOW,⠠⠐⠎
ẓ,1E+093,letter,Z with Dot Below,⠐⠵
⸥,2E+025,punctuation,BOTTOM RIGHT HALF BRACKET,⠨⠜
⸣,2E+023,punctuation,TOP RIGHT HALF BRACKET,⠨⠜
⸢,2E+022,punctuation,TOP LEFT HALF BRACKET,⠨⠣
₈,2088,digit,SUBSCRIPT EIGHT,⠢⠼⠓
₉,2089,digit,SUBSCRIPT NINE,⠢⠼⠊
Û,00DB,uppercase,CAPITAL U WITH CIRCUMFLEX,⠠⠘⠩⠥
ḏ,1E0F,lowercase,D with line below,⠰⠙
ʳ,02B3,lowercase,SMALL R,⠗
ṭ,1E6D,lowercase,T WITH DOT BELOW,⠐⠞
Ṭ,1E6C,uppercase,CAPITAL T WITH DOT BELOW,⠠⠐⠞
ₓ,2093,letter,SUBSCRIPT SMALL X,⠢⠭
ḫ,1E2B,lowercase,H WITH BREVE BELOW,⠡
Ḫ,1E2A,uppercase,CAPITAL H WITH BREVE BELOW,⠠⠡
ŋ,014B,lowercase,ENG,⠐⠚
₇,2087,digit,SUBSCRIPT SEVEN,⠢⠼⠛
Ŋ,014A,uppercase,CAPITAL ENG,⠠⠐⠚
×,00D7,math,MULTIPLICATION SIGN,⠐⠦
Î,00CE,uppercase,CAPITAL I WITH CIRCUMFLEX,⠠⠘⠩⠊
ʿ,02BF,letter,LEFT HALF RING,⠐⠫
₁,2081,digit,SUBSCRIPT ONE,⠢⠼⠁
₂,2082,digit,SUBSCRIPT TWO,⠢⠼⠃
₃,2083,digit,SUBSCRIPT THREE,⠢⠼⠉
₄,2084,digit,SUBSCRIPT FOUR,⠢⠼⠙
₅,2085,digit,SUBSCRIPT FIVE,⠢⠼⠑
₆,2086,digit,SUBSCRIPT SIX,⠢⠼⠋
ʾ,02BE,letter,RIGHT HALF RING,⠫
Ṯ,1E6E,uppercase,Capital T with Line Below,⠠⠹
Ê,00CA,uppercase,CAPITAL E WITH CIRCUMFLEX,⠠⠘⠩⠑
û,00FB,lowercase,U WITH CIRCUMFLEX,⠘⠩⠥
í,00ED,lowercase,I WITH ACUTE,⠘⠌⠊
ú,00FA,lowercase,U WITH ACUTE,⠘⠌⠥
Á,00C1,uppercase,CAPITAL A WITH ACUTE,⠠⠘⠌⠁
É,00C9,uppercase,CAPITAL E WITH ACUTE,⠠⠘⠌⠑
Í,00CD,uppercase,CAPITAL I WITH ACUTE,⠠⠘⠌⠊
Ú,00DA,uppercase,CAPITAL U WITH ACUTE,⠠⠘⠌⠥
ś,015B,lowercase,S WITH ACUTE,⠘⠌⠎
Ś,015A,uppercase,CAPITAL S WITH ACUTE,⠠⠘⠌⠎
ṯ,1E6F,lowercase,T with Line Below,⠹
Ǵ,01F4,uppercase,Capitol G with ACUTE,⠠⠘⠌⠛
ì,00EC,lowercase,I WITH GRAVE,⠘⠡⠊
ù,00F9,lowercase,U WITH GRAVE,⠘⠡⠥
À,00C0,uppercase,CAPITAL A WITH GRAVE,⠠⠘⠡⠁
È,00C8,uppercase,CAPITAL E WITH GRAVE,⠠⠘⠡⠑
Ì,00CC,uppercase,CAPITAL I WITH GRAVE,⠠⠘⠡⠊
Ù,00D9,uppercase,CAPITAL U WITH GRAVE,⠠⠘⠡⠥
ǵ,01F5,lowercase,G with Acute,⠘⠌⠛
ī,012B,lowercase,I WITH MACRON,⠈⠤⠊
ū,016B,lowercase,U WITH MACRON,⠈⠤⠥
ᵈ,1D48,lowercase,subscript D,⠨⠙
Ī,012A,uppercase,CAPITAL I WITH MACRON,⠠⠈⠤⠊
Ū,016A,uppercase,CAPITAL U WITH MACRON,⠠⠈⠤⠥
Ḏ,1E0E,uppercase,Capitol D with line below,⠠⠰⠙
ê,00EA,lowercase,E WITH CIRCUMFLEX,⠘⠩⠑
î,00EE,lowercase,I WITH CIRCUMFLEX,⠘⠩⠊
Â,00C2,uppercase,CAPITAL A WITH CIRCUMFLEX,⠠⠘⠩⠁
Š,160,uppercase,CAPITAL S WITH CARON,⠠⠩
š,161,lowercase,S WITH CARON,⠩
Ē,112,uppercase,CAPITAL E WITH MACRON,⠠⠈⠤⠑
Ā,100,uppercase,CAPITAL A WITH MACRON,⠠⠈⠤⠁
ē,113,lowercase,E WITH MACRON,⠈⠤⠑
ā,101,lowercase,A WITH MACRON,⠈⠤⠁
é,0,lowercase,E WITH ACUTE,⠘⠌⠑
â,0,lowercase,A WITH CIRCUMFLEX,⠘⠩⠁
è,0,lowercase,E WITH GRAVE,⠘⠡⠑
à,0,lowercase,A WITH GRAVE,⠘⠡⠁
á,0,lowercase,A WITH ACUTE,⠘⠌⠁
