Character,Name,Braille
á,A WITH ACUTE,⠘⠌⠁
é,E WITH ACUTE,⠘⠌⠑
í,I WITH ACUTE,⠘⠌⠊
ú,U WITH ACUTE,⠘⠌⠥
Á,CAPITAL A WITH ACUTE,⠠⠘⠌⠁
É,CAPITAL E WITH ACUTE,⠠⠘⠌⠑
Í,CAPITAL I WITH ACUTE,⠠⠘⠌⠊
Ú,CAPITAL U WITH ACUTE,⠠⠘⠌⠥
ś,S WITH ACUTE,⠘⠌⠎
Ś,CAPITAL S WITH ACUTE,⠠⠘⠌⠎
à,A WITH GRAVE,⠘⠡⠁
è,E WITH GRAVE,⠘⠡⠑
ì,I WITH GRAVE,⠘⠡⠊
ù,U WITH GRAVE,⠘⠡⠥
À,CAPITAL A WITH GRAVE,⠠⠘⠡⠁
È,CAPITAL E WITH GRAVE,⠠⠘⠡⠑
Ì,CAPITAL I WITH GRAVE,⠠⠘⠡⠊
Ù,CAPITAL U WITH GRAVE,⠠⠘⠡⠥
ā,A WITH MACRON,⠈⠤⠁
ē,E WITH MACRON,⠈⠤⠑
ī,I WITH MACRON,⠈⠤⠊
ū,U WITH MACRON,⠈⠤⠥
Ā,CAPITAL A WITH MACRON,⠠⠈⠤⠁
Ē,CAPITAL E WITH MACRON,⠠⠈⠤⠑
Ī,CAPITAL I WITH MACRON,⠠⠈⠤⠊
Ū,CAPITAL U WITH MACRON,⠠⠈⠤⠥
â,A WITH CIRCUMFLEX,⠘⠩⠁
ê,E WITH CIRCUMFLEX,⠘⠩⠑
î,I WITH CIRCUMFLEX,⠘⠩⠊
û,U WITH CIRCUMFLEX,⠘⠩⠥
Â,CAPITAL A WITH CIRCUMFLEX,⠠⠘⠩⠁
Ê,CAPITAL E WITH CIRCUMFLEX,⠠⠘⠩⠑
Î,CAPITAL I WITH CIRCUMFLEX,⠠⠘⠩⠊
Û,CAPITAL U WITH CIRCUMFLEX,⠠⠘⠩⠥
š,S WITH CARON,⠩
Š,CAPITAL S WITH CARON,⠠⠩
ṣ,S WITH DOT BELOW,⠐⠎
Ṣ,CAPITAL S WITH DOT BELOW,⠠⠐⠎
ṭ,T WITH DOT BELOW,⠐⠞
Ṭ,CAPITAL T WITH DOT BELOW,⠠⠐⠞
ḫ,H WITH BREVE BELOW,⠡
Ḫ,CAPITAL H WITH BREVE BELOW,⠠⠡
ŋ,ENG,⠐⠚
Ŋ,CAPITAL ENG,⠠⠐⠚
×,MULTIPLICATION SIGN,⠐⠦
ʾ,RIGHT HALF RING,⠫
ʿ,LEFT HALF RING,⠐⠫
₁,SUBSCRIPT ONE,⠢⠼⠁
₂,SUBSCRIPT TWO,⠢⠼⠃
₃,SUBSCRIPT THREE,⠢⠼⠉
₄,SUBSCRIPT FOUR,⠢⠼⠙
₅,SUBSCRIPT FIVE,⠢⠼⠑
₆,SUBSCRIPT SIX,⠢⠼⠋
₇,SUBSCRIPT SEVEN,⠢⠼⠛
₈,SUBSCRIPT EIGHT,⠢⠼⠓
₉,SUBSCRIPT NINE,⠢⠼⠊
ₓ,SUBSCRIPT SMALL X,⠢⠭
⸢,TOP LEFT HALF BRACKET,⠨⠣
⸣,TOP RIGHT HALF BRACKET,⠨⠜
⸤,BOTTOM LEFT HALF BRACKET,⠨⠣
⸥,BOTTOM RIGHT HALF BRACKET,⠨⠜
ʳ,SMALL R,⠗
ḏ,D with line below,⠰⠙
Ḏ,Capitol D with line below,⠠⠰⠙
ẓ,Z with Dot Below,⠐⠵
Ẓ,Capital Z with Dot Below,⠠⠐⠵
ǵ,G with Acute,⠘⠌⠛
Ǵ,Capitol G with ACUTE,⠠⠘⠌⠛
ṯ,T with Line Below,⠹
Ṯ,Capital T with Line Below,⠠⠹
a,a,⠁
A,A,⠠⠁
b,B,⠠⠃
c,c,⠉
C,C,⠠⠉
d,d,⠙
D,D,⠠⠙
e,e,⠑
E,E,⠠⠑
f,f,⠋
F,F,⠠⠋
g,,⠛
G,G,⠠⠛
h,h,⠓
H,H,⠠⠓
i,i,⠊
I,I,⠠⠊
j,j,⠚
J,J,⠠⠚
k,k,⠅
K,K,⠠⠅
l,l,⠇
L,L,⠠⠇
m,m,⠍
M,M,⠠⠍
n,N,⠝
N,N,⠠⠝
o,o,⠕
O,O,⠠⠕
p,p,⠏
P,P,⠠⠏
q,q,⠟
Q,Q,⠠⠟
r,r,⠗
,,⠠⠗
s,,⠎
S,S,⠠⠎
t,t,⠞
T,T,⠠⠞
u,u,⠥
U,U,⠠⠥
V,V,⠠⠧
v,v,⠧
W,W,⠠⠺
w,w,⠺
X,X,⠠⠭
x,x,⠭
Y,Y,⠠⠽
y,y,⠽
z,z,⠵
Z,Z,⠠⠵
 ,, 
1,1,⠁
2,2,⠃
3,3,⠉
4,4,⠙
5,5,⠑
6,6,⠋
7,7,⠛
8,8,⠓
9,9,⠊
0,0,⠚
*,*,⠐⠦
+,+,⠐⠖
/,/,⠐⠌
_,_,⠢
^,^,⠔
<,<,⠈⠣
>,>,⠈⠜
#,#,⠼
$,$,⠈⠎
&,&,⠈⠯
%,%,⠨⠴
-,-,⠤
;,;,⠆
:,:,⠒
',',⠄
.,.,⠲
?,?,⠰⠦
!,!,⠖
