Character,Hex,Type,Name,Braille
𒀀,12000,letter,CUNEIFORM SIGN A,⠁
𒀁,12001,letter,CUNEIFORM SIGN A TIMES A,⠁⠡⠁
𒀂,12002,letter,CUNEIFORM SIGN A TIMES BAD,⠁⠡⠃⠁⠙
𒀃,12003,letter,CUNEIFORM SIGN A TIMES GAN2 TENU,⠁⠡⠛⠁⠝ ⠞⠑⠝⠥
𒀄,12004,letter,CUNEIFORM SIGN A TIMES HA,⠁⠡⠓⠁
𒀅,12005,letter,CUNEIFORM SIGN A TIMES IGI,⠁⠡⠊⠛⠊
𒀆,12006,letter,CUNEIFORM SIGN A TIMES LAGAR GUNU,⠁⠡⠇⠁⠛⠜ ⠛⠥⠝⠥
𒀇,12007,letter,CUNEIFORM SIGN A TIMES MUSH,⠁⠡⠍⠥⠩
𒀈,12008,letter,CUNEIFORM SIGN A TIMES SAG,⠁⠡⠎⠁⠛
𒀉,12009,letter,CUNEIFORM SIGN A2,⠁
𒀊,1200A,letter,CUNEIFORM SIGN AB,⠁⠃
𒀋,1200B,letter,CUNEIFORM SIGN AB TIMES ASH2,⠁⠃⠡⠁⠩
𒀌,1200C,letter,CUNEIFORM SIGN AB TIMES DUN3 GUNU,⠁⠃⠡⠙⠥⠝⠒ ⠛⠥⠝⠥
𒀍,1200D,letter,CUNEIFORM SIGN AB TIMES GAL,⠁⠃⠡⠛⠁⠇
𒀎,1200E,letter,CUNEIFORM SIGN AB TIMES GAN2 TENU,⠁⠃⠡⠛⠁⠝ ⠞⠑⠝⠥
𒀏,1200F,letter,CUNEIFORM SIGN AB TIMES HA,⠁⠃⠡⠓⠁
𒀐,12010,letter,CUNEIFORM SIGN AB TIMES IGI GUNU,⠁⠃⠡⠊⠛⠊ ⠛⠥⠝⠥
𒀑,12011,letter,CUNEIFORM SIGN AB TIMES IMIN,⠁⠃⠡⠊⠍⠊⠝
𒀒,12012,letter,CUNEIFORM SIGN AB TIMES LAGAB,⠁⠃⠡⠇⠁⠛⠁⠃
𒀓,12013,letter,CUNEIFORM SIGN AB TIMES SHESH,⠁⠃⠡⠩⠑⠩
𒀔,12014,letter,CUNEIFORM SIGN AB TIMES U PLUS U PLUS U,⠁⠃⠡⠥⠬⠥⠬⠥
𒀕,12015,letter,CUNEIFORM SIGN AB GUNU,⠁⠃ ⠛⠥⠝⠥
𒀖,12016,letter,CUNEIFORM SIGN AB2,⠁⠃
𒀗,12017,letter,CUNEIFORM SIGN AB2 TIMES BALAG,⠁⠃⠡⠃⠁⠇⠁⠛
𒀘,12018,letter,CUNEIFORM SIGN AB2 TIMES GAN2 TENU,⠁⠃⠡⠛⠁⠝ ⠞⠑⠝⠥
𒀙,12019,letter,CUNEIFORM SIGN AB2 TIMES ME PLUS EN,⠁⠃⠡⠍⠑⠬⠑⠝
𒀚,1201A,letter,CUNEIFORM SIGN AB2 TIMES SHA3,⠁⠃⠡⠩⠁⠒
𒀛,1201B,letter,CUNEIFORM SIGN AB2 TIMES TAK4,⠁⠃⠡⠞⠁⠅⠲
𒀜,1201C,letter,CUNEIFORM SIGN AD,⠁⠙
𒀝,1201D,letter,CUNEIFORM SIGN AK,⠁⠅
𒀞,1201E,letter,CUNEIFORM SIGN AK TIMES ERIN2,⠁⠅⠡⠑⠗⠊⠝
𒀟,1201F,letter,CUNEIFORM SIGN AK TIMES SHITA PLUS GISH,⠁⠅⠡⠩⠊⠞⠁⠬⠛⠊⠩
𒀠,12020,letter,CUNEIFORM SIGN AL,⠁⠇
𒀡,12021,letter,CUNEIFORM SIGN AL TIMES AL,⠁⠇⠡⠁⠇
𒀢,12022,letter,CUNEIFORM SIGN AL TIMES DIM2,⠁⠇⠡⠙⠊⠍
𒀣,12023,letter,CUNEIFORM SIGN AL TIMES GISH,⠁⠇⠡⠛⠊⠩
𒀤,12024,letter,CUNEIFORM SIGN AL TIMES HA,⠁⠇⠡⠓⠁
𒀥,12025,letter,CUNEIFORM SIGN AL TIMES KAD3,⠁⠇⠡⠅⠁⠙⠒
𒀦,12026,letter,CUNEIFORM SIGN AL TIMES KI,⠁⠇⠡⠅⠊
𒀧,12027,letter,CUNEIFORM SIGN AL TIMES SHE,⠁⠇⠡⠩⠑
𒀨,12028,letter,CUNEIFORM SIGN AL TIMES USH,⠁⠇⠡⠥⠩
𒀩,12029,letter,CUNEIFORM SIGN ALAN,⠁⠇⠁⠝
𒀪,1202A,letter,CUNEIFORM SIGN ALEPH,⠁⠇⠑⠏⠓
