Char,Unicode,Name,Braille
ጀ,U+1300D+BE30,ja,⠚⠢
ጁ,U+1301D+BE31,ju,⠚⠥
ጂ,U+1302D+BE32,ji,⠚⠊
ጃ,U+1303D+BE33,   jaa,⠚⠁
ጄ,U+1304D+BE34,   jee,⠚⠑
?,U+1305D+BE35,   je,⠦
ጆ,U+1306D+BE36,   jo,⠚⠕
ጇ,U+1307D+BE37,   jwa,⠭
ገ,U+1308D+BE38,   ga,⠛⠢
ጉ,U+1309D+BE39,   gu,⠛⠥
ጊ,U+130aD+BE3A,           gi,⠛⠊
ጋ,U+130bD+BE3B,gaa,⠛⠁
ጌ,U+130c +BE3C,gee,⠛⠑
ግ,U+130d +BE3D,ge,⠛
ጎ,U+130e +BE3E,go,⠛⠕
ጏ,U+130f +BE3F,goa,⠛⠭
ጐ,U+1310 +BE40,gwa,⠛⠺⠢
ጒ,U+1312 +BE42,gwi,⠛⠺⠊
ጓ,U+1313 +BE43,gwaa,⠛⠭
ጔ,U+1314 +BE44,gwee,⠛⠺⠑
ጕ,U+1315 +BE45,gwe,⠛⠺⠥
ጘ,U+1318 +BE48,gga,⠛⠢
ጙ,U+1319 +BE49,ggu,⠛⠥
ጚ,U+131a +BE4A,ggi,⠛⠊
ጛ,U+131b +BE4B,ggaa,⠛⠁
ጜ,U+131c +BE4C,ggee,⠛⠑
ጝ,U+131d +BE4D,gge,⠛⠛
ጞ,U+131e +BE4E,ggo,⠛⠛⠕
ጟ,U+131f +BE4Fsyllable ggwaa,ggwa,nan
ጠ,U+1320 +BE50,tha,⠾⠢
ጡ,U+1321 +BE51,thu,⠷⠥
ጢ,U+1322 +BE52,thi,⠾⠊
ጣ,U+1323 +BE53,thaa,⠾⠁
ጤ,U+1324 +BE54,thee,⠾⠑
ጥ,U+1325 +BE55,the,⠾
ጦ,U+1326 +BE56,tho,⠾⠕
ጧ,U+1327 +BE57,thwa,⠾⠭
ጨ,U+1328 +BE58,cha,⠉⠢
ጩ,U+1329 +BE59,chu,⠉⠥
ጪ,U+132a +BE5A,chi,⠉⠊
ጫ,U+132b +BE5B,chaa,⠉⠁
ጬ,U+132c +BE5C,chee,⠉⠑
ጭ,U+132d +BE5D,che,⠉
ጮ,U+132e +BE5E,cho,⠉⠕
ጯ,U+132f +BE5F,chwa,⠉⠭
ጰ,U+1330 +BE60,pha,⠖⠢
ጱ,U+1331 +BE61,phu,⠖⠥
ጲ,U+1332 +BE62,phi,⠖⠊
ጳ,U+1333 +BE63,phaa,⠖⠁
ጴ,U+1334 +BE64,phee,⠖⠑
ጵ,U+1335 +BE65,phe,⠖⠂
ጶ,U+1336 +BE66,pho,⠖⠕
ጷ,U+1337 +BE67,phwa,⠖⠭
ጸ,U+1338 +BE68,tsa,⠮⠢
ጹ,U+1339 +BE69,tsu,⠮⠥
ጺ,U+133a +BE6A,tsi,⠮⠊
ጻ,U+133b +BE6B,tsaa,⠮⠁
ጼ,U+133c +BE6C,tsee,⠮⠑
ጽ,U+133d +BE6D,tse,⠮
ጾ,U+133e +BE6E,tso,⠮⠕
ጿ,U+133f +BE6F,tswa,⠮⠭
ፀ,U+1340 +BE70,tza,⠯⠢
ፁ,U+1341 +BE71,tzu,⠯⠥
ፂ,U+1342 +BE72,tzi,⠯⠊
ፃ,U+1343 +BE73,tzaa,⠯⠁
ፄ,U+1344 +BE74,tzee,⠯⠑
?,U+1345 +BE75,tze,⠦
ፆ,U+1346 +BE76,tzo,⠯⠴
ፇ,U+1347 +BE77,tzoa,⠯⠭
ፈ,U+1348 +BE78,fa,⠋⠢
ፉ,U+1349 +BE79,fu,⠋⠥
ፊ,U+134a +BE7A,fi,⠋⠊
ፋ,U+134b +BE7B,faa,⠋⠁
ፌ,U+134c +BE7C,fee,⠋⠑
ፍ,U+134d +BE7D,fe,⠋
ፎ,U+134e +BE7E,fo,⠋⠕
ፏ,U+134f +BE7F,fwa,⠋⠭
ፐ,U+1350 +BE80,pa,⠏⠢
ፑ,U+1351 +BE81,pu,⠏⠥
ፒ,U+1352 +BE82,pi,⠏⠊
ፓ,U+1353 +BE83,paa,⠏⠁
ፔ,U+1354 +BE84,pee,⠏
ፕ,U+1355 +BE85,pe,⠏⠕
ፖ,U+1356 +BE86,po,⠏⠽
ፗ,U+1357 +BE87,pwa,⠗⠽⠢
ፘ,U+1358 +BE88,rya,⠍⠽⠢
ፙ,U+1359 +BE89,mya,⠋⠽⠢
ፚ,U+135a +BE8A,fya,⠸
፟,U+135f +BE8F,combining gemination mark,nan
፠,U+1360 +BE90,section mark,⠱
፡,U+1361 +BE91,wordspace, 
።,U+1362 +BE92,full stop,⠲
፣,U+1363 +BE93,comma,⠁
፤,U+1364 +BE94,semicolon,⠲
፥,U+1365 +BE95,colon,⠲⠒
፦,U+1366 +BE96,preface colon,⠱
፧,U+1367 +BE97,question mark,⠦
፨,U+1368 +BE98,paragraph separator,⠶⠱
፩,U+1369 +BE99,one,⠿⠁
፪,U+136a +BE9A,two,⠿⠃
፫,U+136b +BE9B,three,⠿⠉
፬,U+136c +BE2C,four,⠿⠙
፭,U+136d +BE9D,five,⠿⠑
፮,U+136e +BE9E,six,⠿⠋
፯,U+136f +BE9F,seven,⠿⠛
፰,U+1370 +BEA0,eight,⠿⠓
፱,U+1371 +BEA1,nine,⠿⠊
፲,U+1372 +BEA2,ten,⠿⠁⠚
፳,U+1373 +BEA3,twenty,⠿⠃⠚
፴,U+1374 +BEA4,thirty,⠿⠉⠚
፵,U+1375 +BEA5,forty,⠿⠙⠚
፶,U+1376 +BEA6,fifty,⠿⠑⠚
፷,U+1377 +BEA7,sixty,⠿⠋⠚
፸,U+1378 +BEA8,seventy,⠿⠛⠚
፹,U+1379 +BEA9,eighty,⠿⠓⠚
፺,U+137a +BEAA,ninety,⠿⠊⠚
፻,U+137b +BEAB,hundred,⠿⠁⠚⠚
፼,U+137c +BEAC,ten thousand,⠿⠁⠚⠚⠚
ᎀ,U+1380 +BF30,   sebatbeit mwa,⠌⠎⠍⠺⠁
ᎁ,U+1381 +BF31,mwi,⠌⠍⠺⠊
ᎂ,U+1382 +BF32,mwee,⠌⠍⠺⠑
ᎃ,U+1383 +BF33,   mwe,⠌⠍⠺⠑
ᎄ,U+1384 +BF34,sebatbeit bwa,⠌⠎⠃⠺⠁
?,U+1385 +BF35,bwi,⠌⠃⠺⠊
ᎆ,U+1386 +BF36,bwee,⠌⠃⠺⠑
ᎇ,U+1387 +BF37,bwe,⠌⠃⠺⠑
ᎈ,U+1388 +BF38,sebatbeit fwa,⠌⠎⠋⠺⠁
ᎉ,U+1389 +BF39,fwi,⠌⠋⠺⠊
ᎊ,U+138a +BF3A,fwee,⠌⠋⠺⠑
ᎋ,U+138b +BF3B,fwe,⠌⠋⠺⠑
ᎌ,U+138c +BF3C,sebatbeit pwa,⠌⠎⠏⠺⠁
ᎍ,U+138d +BF3D,pwi/pwi,nan
ᎎ,U+138e +BF3E,pwee,⠌⠏⠺⠑
ᎏ,U+138f +BF3F,pwe,⠌⠏⠺⠊
᎐,U+1390 +BF40,yizet,⠌⠽
᎑,U+1391 +BF41,deret,⠌⠙
᎒,U+1392 +BF42,rikrik,⠌⠗⠗
᎓,U+1393 +BF43,short rikrik,⠌⠗
᎔,U+1394 +BF44,difat,⠌⠙⠋
᎕,U+1395 +BF45,kenat,⠌⠅
᎖,U+1396 +BF46,chiret,⠌⠉⠓
᎗,U+1397 +BF47,hidet,⠌⠓
᎘,U+1398 +BF48,deret hidet,⠌⠙⠓
 ,, , 
