Accent,alpha,epsilon,eta,iota,omichron,upsilon,omega
No Accent,a,e,:,i,o,u,w
grave/varia +0300,a→(,e→c,:→!,i→/,o→+,u→),w→q
acute/oxia +0301,a→>,e→$,:→=,i→],o→[,u→\,w→j
circum/perispomeni +0342,a→*,,:→<,i→%,,u→v,w→#
Accent,Effect
smooth/psili +0313,0v (v=vowel)
rough/dasia +0314,hv (v=vowel)
Accent,Effect
subscript/ypogegramei +0345,add 9
Accent,Effect
dialytika,2 (between vowels)
0384,΄,tonos,,
0385,΅,dialytika and oxia,,
0387,·,greek semi-colon,;,;
0390+03C9+0345,ΐῳ,iota omega with dialytika and oxia,]2w9,]2w9
0390+03C9,ΐω,iota omega with dialytika and oxia,]2w,]2w
0390,ΐ,iota with dialytika and oxia isolated,],]
03AC+0345,ᾴ,alpha with oxia,>9,>9
03AC,ά,alpha with oxia,>,>
03AD+0345,έ,epsilon with oxia,$9,$9
03AD,έ,epsilon with oxia,$,$
03AE+0345,ῄ,eta with oxia,=9,=9
03AE,ή,eta with oxia,=,=
03AF+03C9+0345,ίῳ,iota omega with oxia,]w9,]w9
03AF+0345,ίͅ,iota with oxia,]9,]9
03AF,ί,iota with oxia,],]
03B0+03C9+0345,ΰῳ,upsilon omega with dialytika and oxia,\2w9,\2w9
03B0+03C9,ΰω,upsilon omega with dialytika and oxia,\2w,\2w
03B0,ΰ,upsilon with dialytika and oxia isolated,\,\
03B1+0300+0345,ᾲ,alpha with varia,(9,(9
03B1+0300,ὰ,alpha with varia,(,(
03B1+0301+0345,ᾴ,alpha with oxia,>9,>9
03B1+0301,ά,alpha with oxia,>,>
03B1+0313+0300+0345,ᾂ,alpha with psili and varia,0(9,0(9
03B1+0313+0300,ἂ,alpha with psili and varia,0(,0(
03B1+0313+0301+0345,ᾄ,alpha with psili and oxia,0>9,0>9
03B1+0313+0301,ἄ,alpha with psili and oxia,0>,0>
03B1+0313+0342+0345,ᾆ,alpha with psili and perispomeni,0*9,0*9
03B1+0313+0342,ἆ,alpha with psili and perispomeni,0*,0*
03B1+0313+0345,ᾀ,alpha with psili,0a9,0a9
