Character,Hex,Logic,Type,Name,Braille
ְ,05B0,187,letter,point sheva*,⠄
ֱ,05B1,188,letter,hataf segol,⠢
ֲ,05B2,188,letter,hataf patah,⠒
ֳ,05B3,185,letter,point hataf qamats*,⠜
ִי,05B4+05D9,201,letter,point hiriq-yod,⠔
ִ,05B4,188,letter,point hiriq*,⠊
ֵי,05B5+05D9,188,letter,point tsere-yod*,⠼
ֵ,05B5,185,letter,point tsere*,⠌
ֶ,05B6,185,letter,point segol*,⠑
ַ,05B7,185,letter,point patah*,⠉
ָ,05B8,185,letter,point qamats*,⠣
ֹ,05B9,185,letter,point holam*,⠪
ֺ,05BA,188,letter,point holam haser for vav,⠐⠪
ֻ,05BB,185,letter,point qubuts*,⠬
ּ,05BC,186,letter,dagesh,⠐
ֽ,05BD,185,letter,point meteg*,⠈
־,05BE,8,letter,punctuation maqaf,⠤
ֿ,05BF,8,letter,rafe*,⠂
׀,05C0,8,letter,punctuation paseq*,⠸
ׁ,05C1,8,letter,shin dot*,⠈
ׂ,05C2,8,letter,sin dot*,⠘
׃,05C3,8,letter,punctuation sof pasuq*,⠲
ׄ,05C4,8,letter,mark upper dot*,⠈
ׅ,05C5,8,letter,mark lower dot*,⠘
׆,05C6,8,letter,punctuation nun hafukha,⠸⠝
ׇ,05C7,8,letter,point qamats qatan*,⠣
׳,05F3,8,letter,punctuation geresh*,⠸⠣
״,05F4,8,letter,punctuation gershayim*,⠸
א,05D0,8,letter,letter alef,⠁
בּ,05D1+05BC,8,letter,bet with dagesh,⠃
בְּ,05D1+05B0+05BC,8,letter,bet with dagesh sheva,⠃⠄
בּ,FB31,3,letter,Bet with dadgesh,⠃
בְּ,FB31+05B0,3,letter,Bet with dadgesh sheva,⠃⠄
ב,05D1,8,letter,bet,⠧
ג,05D2,8,letter,gimel,⠛
דּ,05D3+05BC,186,letter,dalet with dagesh,⠐⠙
דְּ,05D3+05BC+05B0,186,letter,dalet with dagesh sheva,⠐⠙⠄
ד,05D3,8,letter,letter dalet,⠙
הּ,05D4+05BC,8,letter,hey - isolated,⠓
ה,05D4,8,letter,letter hey,⠓
וֹ,05D5+05B9,201,letter,holam-vav*,⠪
וּ,05D5+05BC,201,letter,shuruq,⠥
ּו,05BC+05D5,201,letter,shuruq,⠥
ּוְ,05BC+05D5+05B0,201,letter,shuruq sheva,⠥⠄
ו,05D5,8,letter,vav,⠺
ז,05D6,8,letter,zayin,⠵
ח,05D7,8,letter,letter het,⠭
ט,05D8,8,letter,letter tet,⠞
יּ,05D9+05BC,186,letter,letter yod with dagesh,⠐⠚
יְּ,05D9+05BC+05B0,186,letter,letter yod with dagesh,⠐⠚⠄
י,05D9,8,letter,letter yod,⠚
ך,05DA,214,letter,letter final kaf,⠡
כּ,05DB+05BC,8,letter,kaf with dadgesh,⠅
כְּ,05DB+05BC+05B0,8,letter,kaf with dadgesh sheva,⠅⠄
כ,05DB,8,letter,kaf,⠡
כּ,FB3B,9,letter,KAF with dadgesh ,⠅
כְּ,FB3B+05B0,9,letter,KAF with dadgesh  sheva,⠅⠄
לּ,05DC+05BC,186,letter,letter lamed with dagesh,⠐⠇
לְּ,05DC+05BC+05B0,186,letter,letter lamed with dagesh sheva,⠐⠇⠄
ל,05DC,8,letter,letter lamed,⠇
ם,05DD,8,letter,letter final mem,⠍
מּ,05DE+05BC,186,letter,letter mem with dagesh,⠐⠍
מְּ,05DE+05BC+05B0,186,letter,letter mem with dagesh sheva,⠐⠍⠄
מ,05DE,8,letter,letter mem,⠍
ן,05DF,8,letter,letter final nun,⠝
נּ,05E0+05BC,186,letter,letter nun with dagesh,⠐⠝
נְּ,05E0+05BC+05B0,186,letter,letter nun with  dagesh sheva,⠐⠝⠄
נ,5,8,letter,letter nun,⠝
ס,50,8,letter,letter samekh,⠎
ע,500,8,letter,letter ayin,⠫
ף,5000,8,letter,letter final pe,⠋
פּ,05E4+05BC,8,letter,pe with dagesh,⠐⠏
פְּ,05E4+05BC+05B0,8,letter,pe with dagesh sheva,⠐⠏⠄
פ,50000,214,letter,Pe,⠏
ץ,500000,8,letter,letter final tsadi,⠮
צ,5000000,8,letter,letter tsadi,⠮
