Character,Hex,Type,Name,Braille
܀,700,letter,END OF PARAGRAPH,⠲⠏
܁,701,letter,SUPRALINEAR FULL STOP,⠖
܂,702,letter,SUBLINEAR FULL STOP,⠲
܃,703,letter,SUPRALINEAR COLON,⠲⠉
܄,704,letter,SUBLINEAR COLON,⠲⠤
܅,705,letter,HORIZONTAL COLON,⠴⠲⠒
܆,706,letter,COLON SKEWED LEFT,⠦
܇,707,letter,COLON SKEWED RIGHT,⠴
܈,708,letter,SUPRALINEAR COLON SKEWED LEFT,⠲⠱
܉,709,letter,SUBLINEAR COLON SKEWED RIGHT,⠲⠎
܊,070A,letter,CONTRACTION,⠲⠄
܋,070B,letter,HARKLEAN OBELUS,⠲⠕
܌,070C,letter,HARKLEAN METOBELUS,⠲⠍
܍,070D,letter,HARKLEAN ASTERISCUS,⠴⠲⠔
܏,070F,letter,ABBREVIATION MARK,⠲⠁
ܐ݁,0710+0741,letter,ALAPH and QUSHSHAYA,⠁⠂
ܐ݂,0710+0742,letter,ALAPH and RUKKAKHA,⠁⠄
ܐ,710,letter,ALAPH,⠁
ܑ݁,0711+0741,letter,SUPERSCRIPT ALAPH  and QUSHSHAYA,⠢⠁⠂
ܑ݂,0711+0742,letter,SUPERSCRIPT ALAPH  and RUKKAKHA,⠢⠁⠄
ܑ,711,letter,SUPERSCRIPT ALAPH,⠢⠁
ܒ݁,0712+0741,letter,BETH and QUSHSHAYA,⠃⠂
ܒ݂,0712+0742,letter,BETH and RUKKAKHA,⠃⠄
ܒ,712,letter,BETH,⠃
ܓ݁,0713+0741,letter,GAMAL and QUSHSHAYA,⠛⠂
ܓ݂,0713+0742,letter,GAMAL and RUKKAKHA,⠛⠄
ܓ,713,letter,GAMAL,⠛
ܔ݁,0714+0741,letter,GAMAL GARSHUNI and QUSHSHAYA,⠢⠛⠂
ܔ݂,0714+0742,letter,GAMAL GARSHUNI and RUKKAKHA,⠢⠛⠄
ܔ,714,letter,GAMAL GARSHUNI,⠢⠛
ܕ݁,0715+0741,letter,DALATH and QUSHSHAYA,⠙⠂
ܕ݂,0715+0742,letter,DALATH and RUKKAKHA,⠙⠄
ܕ,715,letter,DALATH,⠙
ܖ݁,0716+0741,letter,DOTLESS DALATH RISH and QUSHSHAYA,⠢⠙⠂
ܖ݂,0716+0742,letter,DOTLESS DALATH RISH and RUKKAKHA,⠢⠙⠄
ܖ,716,letter,DOTLESS DALATH RISH,⠢⠙
ܗ݁,0717+0741,letter,HE and QUSHSHAYA,⠓⠂
ܗ݂,0717+0742,letter,HE and RUKKAKHA,⠓⠄
ܗ,717,letter,HE,⠓
ܗ̱,0717+0331,letter,HE with macron,⠓⠯
ܘ݁,0718+0741,letter,WAW and QUSHSHAYA,⠺⠂
ܘ݂,0718+0742,letter,WAW and RUKKAKHA,⠺⠄
ܘ,718,letter,WAW,⠺
ܙ݁,0719+0741,letter,ZAIN and QUSHSHAYA,⠵⠂
ܙ݂,0719+0742,letter,ZAIN and RUKKAKHA,⠵⠄
ܙ,719,letter,ZAIN,⠵
ܚ݁,071A+0741,letter,HETH and QUSHSHAYA,⠭⠂
ܚ݂,071A+0742,letter,HETH and RUKKAKHA,⠭⠄
ܚ,071A,letter,HETH,⠭
ܛ݁,071B+0741,letter,TETH and QUSHSHAYA,⠞⠂
