Character(decimal),Decimal,Character(hex),Hex,Name,Braille
𐎀,66432.0,𐎀,10380,UGARITIC LETTER ALPA,⠁
𐎁,66433.0,𐎁,10381,UGARITIC LETTER BETA,⠃
𐎂,66434.0,𐎂,10382,UGARITIC LETTER GAMLA,⠛
𐎃,66435.0,𐎃,10383,UGARITIC LETTER KHA,⠡
𐎄,66436.0,𐎄,10384,UGARITIC LETTER DELTA,⠙
𐎅,66437.0,𐎅,10385,UGARITIC LETTER HO,⠓
𐎆,66438.0,𐎆,10386,UGARITIC LETTER WO,⠺
𐎇,66439.0,𐎇,10387,UGARITIC LETTER ZETA,⠵
𐎈,66440.0,𐎈,10388,UGARITIC LETTER HOTA,⠭
𐎉,66441.0,𐎉,10389,UGARITIC LETTER TET,⠐⠞
𐎊,66442.0,𐎊,1038A,UGARITIC LETTER YOD,⠽
𐎋,66443.0,𐎋,1038B,UGARITIC LETTER KAF,⠅
𐎌,66444.0,𐎌,1038C,UGARITIC LETTER SHIN,⠩
𐎍,66445.0,𐎍,1038D,UGARITIC LETTER LAMDA,⠇
𐎎,66446.0,𐎎,1038E,UGARITIC LETTER MEM,⠍
𐎏,66447.0,𐎏,1038F,UGARITIC LETTER DHAL,⠰⠙
𐎐,66448.0,𐎐,10390,UGARITIC LETTER NUN,⠝
𐎑,66449.0,𐎑,10391,UGARITIC LETTER ZU,⠐⠵
𐎒,66450.0,𐎒,10392,UGARITIC LETTER SAMKA,⠯
𐎓,66451.0,𐎓,10393,UGARITIC LETTER AIN,⠫
𐎔,66452.0,𐎔,10394,UGARITIC LETTER PU,⠏
𐎕,66453.0,𐎕,10395,UGARITIC LETTER SADE,⠐⠎
𐎖,66454.0,𐎖,10396,UGARITIC LETTER QOPA,⠟
𐎗,66455.0,𐎗,10397,UGARITIC LETTER RASHA,⠗
𐎘,66456.0,𐎘,10398,UGARITIC LETTER THANNA,⠹
𐎙,66457.0,𐎙,10399,UGARITIC LETTER GHAIN,⠘⠌⠛
𐎚,66458.0,𐎚,1039A,UGARITIC LETTER TO,⠞
𐎛,66459.0,𐎛,1039B,UGARITIC LETTER I,⠊
𐎜,66460.0,𐎜,1039C,UGARITIC LETTER U,⠥
𐎝,66461.0,𐎝,1039D,UGARITIC LETTER SSU,⠎⠳
𐎟,66463.0,𐎟,1039F,UGARITIC WORD DIVIDER,⠤
 ,, ,, , 
