Character,Hex,Logic,Type,Name,Braille
ְ,05B0,187.0,letter,point sheva*,⠄
ֱ,05B1,188.0,letter,hataf segol,⠢
ֲ,05B2,188.0,letter,hataf patah,⠒
ֳ,05B3,185.0,letter,point hataf qamats*,⠜
ִי,05B4+05D9,201.0,always,point hiriq-yod,⠔
ִ,05B4,188.0,letter,point hiriq*,⠊
ֵי,05B5+05D9,188.0,always,point tsere-yod*,⠼
ֵ,05B5,185.0,letter,point tsere*,⠌
ֶ,05B6,185.0,letter,point segol*,⠑
ַ,05B7,185.0,letter,point patah*,⠉
ָ,05B8,185.0,letter,point qamats*,⠣
ֹ,05B9,185.0,letter,holam Malay *,⠕
ֺ,05BA,188.0,letter,point holam haser ,⠪
ֻ,05BB,185.0,letter,point qubuts*,⠬
ּ,05BC,186.0,letter,dagesh,⠐
א,05D0,8.0,letter,letter alef,⠁
בּ,05D1+05BC,8.0,always,bet with dagesh,⠃
בּ,FB31,3.0,always,Bet with dagesh,⠃
בּ,05D1+05BC,8.0,always,bet with dagesh,⠃
בִּ,05D1+05B4+05BC,8.0,always,bet  dagesh with hiriq,⠃⠊
בֵּ,05D1+05B5+05BC,8.0,always,bet with dagesh,⠃⠌
בֶּ,05D1+05B6+05BC,8.0,always,bet with dagesh,⠃⠑
בַּ,05D1+05B7+05BC,8.0,always,bet with dagesh,⠃⠉
בָּ,05D1+05B8+05BC,8.0,always,bet dageshwith qamats,⠃⠣
בֱּ,05D1+05B1+05BC,8.0,always,bet dagesh with hataf segol,⠃⠢
בֲּ,05D1+05B2+05BC,8.0,always,bet dagesh with hataf patah,⠃⠒
בֳּ,05D1+05B3+05BC,8.0,always,bet dagesh with hataf qamats,⠃⠜
בִּ,05D1+05B4+05BC,8.0,always,bet  dagesh with hiriq,⠃⠊
בֵּ,05D1+05B5+05BC,8.0,always,bet  dagesh with tsere,⠃⠌
בֶּ,05D1+05B6+05BC,8.0,always,bet  dagesh with segol,⠃⠑
בַּ,05D1+05B7+05BC,8.0,always,bet  dagesh with patah,⠃⠉
בָּ,05D1+05B8+05BC,8.0,always,bet dagesh qamats,⠃⠣
בֱּ,05D1+05B1+05BC,8.0,always,bet dagesh  hataf segol,⠃⠢
בֲּ,05D1+05B2+05BC,8.0,always,bet dagesh  hataf patah,⠃⠒
בֳּ,05D1+05B3+05BC,8.0,always,bet dagesh  hataf qamats,⠃⠜
ב,05D1,8.0,letter,bet,⠧
ג,05D2,8.0,letter,gimel,⠛
דּ,05D3+05BC,186.0,always,dalet with dagesh,⠐⠙
דִּ,05D3+05B4+05BC,186.0,always,dalet  dagesh with hiriq,⠐⠙⠊
דֵּ,05D3+05B5+05BC,186.0,always,dalet with dagesh,⠐⠙⠌
דֶּ,05D3+05B6+05BC,186.0,always,dalet with dagesh,⠐⠙⠑
דַּ,05D3+05B7+05BC,186.0,always,dalet with dagesh,⠐⠙⠉
דָּ,05D3+05B8+05BC,186.0,always,dalet dagesh with qamats,⠐⠙⠣
דֱּ,05D3+05B1+05BC,186.0,always,dalet dagesh with hataf segol,⠐⠙⠢
דֲּ,05D3+05B2+05BC,186.0,always,dalet dagesh with hataf patah,⠐⠙⠒⠒
דֳּ,05D3+05B3+05BC,186.0,always,dalet dagesh with hataf qamats,⠐⠙⠜
דִּ,05D3+05B4+05BC,186.0,always,dalet  dagesh with hiriq,⠐⠙⠊
דֵּ,05D3+05B5+05BC,186.0,always,dalet  dagesh with tsere,⠐⠙⠌
דֶּ,05D3+05B6+05BC,186.0,always,dalet  dagesh with segol,⠐⠙⠑
דַּ,05D3+05B7+05BC,186.0,always,dalet  dagesh with patah,⠐⠙⠉
דָּ,05D3+05B8+05BC,186.0,always,dalet dagesh  qamats,⠐⠙⠣
