Character,Hex,Type,Name,Braille
שֲּׁ,05E9+05B2+05C1+05BC,always,shin with dot and hataf patah,⠐⠩⠒
שֵּׂ,05E9+05B5+05C2+05BC,always,sin with tsere,⠐⠱⠌
שִּׁ,05E9+05B4+05BC+05C1,always,shin with hiriq,⠐⠩⠊
שִּׂ,05E9+05B4+05BC+05C2,always,sin with hiriq,⠐⠱⠊
שָּׁ,05E9+05B8+05C1+05BC,always,shin with dot and qamats,⠐⠩⠣
שַּׁ,05E9+05B7+05C1+05BC,always,shin with dot,⠐⠩⠉
שֵּׂ,05E9+05B5+05BC+05C2,always,sin with tsere,⠐⠱⠌
שֶּׂ,05E9+05B6+05BC+05C2,always,sin with segol,⠐⠱⠑
שֳּׂ,05E9+05B3+05C2+05BC,always,sin  hataf qamats,⠐⠱⠜
שֱּׁ,05E9+05B1+05BC+05C1,always,shin  hataf segol,⠐⠩⠢
שִּׁ,05E9+05B4+05C1+05BC,always,shin  with dot and hiriq,⠐⠩⠊
שֳּׁ,05E9+05B3+05C1+05BC,always,shin with dot and hataf qamats,⠐⠩⠜
שֱּׂ,05E9+05B1+05C2+05BC,always,sin  hataf segol,⠐⠱⠢
שָּׂ,05E9+05B8+05C2+05BC,always,sin  qamats,⠐⠱⠣
שַּׂ,05E9+05B7+05C2+05BC,always,sin with patah,⠐⠱⠉
שֶּׂ,05E9+05B6+05C2+05BC,always,sin with segol,⠐⠱⠑
שֶּׁ,05E9+05B6+05C1+05BC,always,shin with dot,⠐⠩⠑
שִּׂ,05E9+05B4+05C2+05BC,always,sin with hiriq,⠐⠱⠊
שָּׁ,05E9+05B8+05BC+05C1,always,shin  qamats,⠐⠩⠣
שֳּׂ,05E9+05B3+05BC+05C2,always,sin  hataf qamats,⠐⠱⠜
שַּׂ,05E9+05B7+05BC+05C2,always,sin with patah,⠐⠱⠉
שֳּׁ,05E9+05B3+05BC+05C1,always,shin  hataf qamats,⠐⠩⠜
שֲּׁ,05E9+05B2+05BC+05C1,always,shin  hataf patah,⠐⠩⠒
שֲּׂ,05E9+05B2+05C2+05BC,always,sin  hataf patah,⠐⠱⠒
שָּׂ,05E9+05B8+05BC+05C2,always,sin  qamats,⠐⠱⠣
שַּׁ,05E9+05B7+05BC+05C1,always,shin with patah,⠐⠩⠉
שֵּׁ,05E9+05B5+05BC+05C1,always,shin with tsere,⠐⠩⠌
שֱּׂ,05E9+05B1+05BC+05C2,always,sin  hataf segol,⠐⠱⠢
שֶּׁ,05E9+05B6+05BC+05C1,always,shin with segol,⠐⠩⠑
שֵּׁ,05E9+05B5+05C1+05BC,always,shin with dot,⠐⠩⠌
שֲּׂ,05E9+05B2+05BC+05C2,always,sin  hataf patah,⠐⠱⠒
פֵּ,05E4+005B5+05BC,always,pe with dagesh,⠏⠌
בְּ,05D1+05B0+05BC,always,bet with dagesh sheva,⠃⠄
אֵּ,05D0+05B5+05BC,always,alef dagesh with tsere,⠐⠁⠌
אִּ,05D0+05B4+05BC,always,alef dagesh with hiriq,⠐⠁⠊
תֲּ,05EA+05B2+05BC,always,tav dagesh with hataf patah,⠳⠒
תֳּ,05EA+05B3+05BC,always,tav dagesh with hataf qamats,⠳⠜
קְּ,05E7+05BC+05B0,always,qof with dagesh sheva,⠐⠟⠄
דְּ,05D3+05BC+05B0,always,dalet with dagesh sheva,⠐⠙⠄
ּוְ,05BC+05D5+05B0,always,Shuriq sheva,⠥⠄
אַּ,05D0+05B7+05BC,always,alef dagesh with patah,⠐⠁⠉
יְּ,05D9+05BC+05B0,always,Yod with dagesh sheva,⠐⠚⠄
אֶּ,05D0+05B6+05BC,always,alef dagesh with segol,⠐⠁⠑
בִּ,05D1+05B4+05BC,always,bet  dagesh with hiriq,⠃⠊
אָּ,05D0+05B8+05BC,always,alef dagesh  qamats,⠐⠁⠣
אֱּ,05D0+05B1+05BC,always,alef dagesh  hataf segol,⠐⠁⠢
אֲּ,05D0+05B2+05BC,always,alef dagesh  hataf patah,⠐⠁⠒
אֳּ,05D0+05B3+05BC,always,alef dagesh  hataf qamats,⠐⠁⠜
תֱּ,05EA+05B1+05BC,always,tav dagesh with hataf segol,⠳⠢
תָּ,05EA+05B8+05BC,always,tav dagesh with qamats,⠳⠣
תַּ,05EA+05B7+05BC,always,tav with dagesh,⠳⠉
בֶּ,05D1+05B6+05BC,always,bet with dagesh,⠃⠑
דֶּ,05D3+05B6+05BC,always,dalet with dagesh,⠐⠙⠑
מְּ,05DE+05BC+05B0,always,mem with dagesh sheva,⠐⠍⠄
נְּ,05E0+05BC+05B0,always,nun with  dagesh sheva,⠐⠝⠄
כְּ,05DB+05BC+05B0,always,kaf with dagesh sheva,⠅⠄
שְׁ,05E9+05B0+05C1,always, Shin with dot and sheva,⠩⠄
בַּ,05D1+05B7+05BC,always,bet with dagesh,⠃⠉
גֵּ,05D2+05B5+05BC,always,gimel dagesh with tsere,⠐⠛⠌
בַּ,05D1+05B7+05BC,always,bet  dagesh with patah,⠃⠉
בָּ,05D1+05B8+05BC,always,bet dagesh qamats,⠃⠣
בֱּ,05D1+05B1+05BC,always,bet dagesh  hataf segol,⠃⠢
בֲּ,05D1+05B2+05BC,always,bet dagesh  hataf patah,⠃⠒
בֳּ,05D1+05B3+05BC,always,bet dagesh  hataf qamats,⠃⠜
